-1117, 50, 715
-1017, 64, 664
-939, 119, 627
-914, 73, 525
-839, 70, 481
-770, 115, 449
-722, 83, 375
-722, 83, 375
-701, 71, 308
-689, 51, 252
-682, 26, 203
-657, 5, 122
-605, 48, 84
-605, 48, 84
-554, 56, 37
-,-,-
-1137, 171, 770
-1137, 171, 770
-1089, 70, 738
-1094, 63, 760
-1091, 99, 800
-1092, 85, 790
-1078, 30, 767
-1108, 34, 734
-1127, 48, 730
-1094, 71, 714
-1034, 67, 672
-1034, 67, 672
-979, 74, 579
-932, 93, 490
-892, 144, 434
-833, 141, 367
-816, 47, 265
-755, 126, 272
-779, 99, 248
-779, 99, 248
-756, 88, 207
-704, 70, 143
-649, 74, 93
-602, 67, 55
-,-,-
-1052, 74, 668
-1081, 117, 816
-1109, 212, 913
-1116, 116, 888
-1096, 107, 924
-1140, 71, 972
-1087, 89, 910
-1034, 104, 820
-1001, 85, 763
-959, 75, 720
-959, 75, 720
-915, 101, 698
-870, 126, 653
-831, 136, 613
-807, 126, 566
-772, 107, 482
-718, 110, 382
-681, 127, 296
-681, 127, 235
-,-,-
-1080, 96, 937
-1144, 152, 896
-1161, 185, 932
-1141, 167, 932
-1160, 118, 875
-1126, 66, 801
-1021, 87, 705
-936, 116, 623
-882, 123, 558
-859, 71, 477
-859, 71, 477
-782, 71, 398
-816, -13, 328
-769, 64, 333
-724, 78, 283
-697, 95, 245
-697, 95, 245
-675, 82, 180
-649, 34, 102
-645, 17, 54
-652, 7, -6
-,-,-
-1082, 111, 1003
-1055, 118, 1069
-1061, 109, 1045
-1035, 98, 1003
-1036, 137, 942
-993, 150, 867
-993, 150, 867
-930, 175, 776
-935, 143, 733
-947, 109, 704
-927, 94, 699
-912, 102, 684
-876, 107, 646
-877, 118, 596
-848, 142, 521
-848, 142, 521
-820, 156, 431
-803, 146, 306
-759, 85, 195
-692, 122, 137
-646, 89, 82
-678, 76, 36
-678, 76, 36
-705, 11, 7
-664, 0, -53
-,-,-
-962, 168, 784
-992, 175, 796
-1023, 148, 841
-1021, 154, 846
-1054, 140, 882
-1054, 114, 901
-1085, 125, 935
-1130, 158, 975
-1115, 155, 938
-1084, 159, 878
-1052, 167, 781
-1012, 181, 709
-971, 168, 628
-895, 171, 518
-895, 171, 518
-830, 165, 425
-805, 148, 358
-791, 93, 297
-710, 90, 275
-664, 111, 233
-676, 99, 175
-702, 49, 127
-702, 49, 127
-657, 44, 41
-640, 61, -46
-634, 74, -125
-642, 123, -173
-650, 137, -181
-,-,-
-1059, 134, 787
-1043, 144, 709
-1011, 168, 710
-1008, 192, 647
-1000, 184, 583
-993, 158, 536
-960, 155, 447
-936, 170, 375
-939, 126, 306
-837, 200, 233
-809, 143, 158
-755, 152, 51
-755, 152, 51
-697, 157, -37
-630, 142, -135
-611, 141, -202
-,-,-
-1099, 79, 802
-1081, 116, 834
-1129, 87, 846
-1119, 73, 773
-1119, 73, 773
-1104, 93, 725
-1062, 98, 681
-1037, 67, 620
-1029, 49, 588
-976, 46, 558
-924, 66, 508
-890, 58, 431
-890, 58, 431
-849, 68, 348
-799, 90, 252
-672, 148, 169
-609, 128, 73
-550, 134, -23
-,-,-
-1025, 178, 697
-1071, 233, 764
-1069, 194, 797
-1087, 159, 843
-1117, 145, 899
-1151, 112, 935
-1160, 59, 957
-1168, 91, 958
-1168, 91, 958
-1099, 94, 872
-1050, 144, 782
-989, 140, 663
-914, 145, 570
-852, 149, 485
-829, 99, 369
-676, 184, 300
-601, 160, 196
-578, 118, 124
-,-,-
-805, 107, 391
-795, 86, 464
-854, 57, 622
-925, 29, 679
-974, 9, 707
-1093, 26, 758
-1093, 26, 758
-1234, 74, 841
-1399, 114, 962
-1559, 84, 1084
-1590, 41, 1125
-1507, 60, 1065
-1324, 122, 961
-1077, 247, 840
-876, 308, 695
-833, 165, 540
-680, 157, 420
-567, 258, 310
